thinking_mode,agent_id,agent_label,probe_name,probe_label,layer,n_predictions,n_trajectories,n_match_groups,pooled_auroc,mean_fold_auroc,fold_auroc_sd,fold_auroc_min,fold_auroc_max,brier,ece_10_bin
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,56,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,goldowsky_dill_logistic,Goldowsky-Dill,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,0,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,8,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,16,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,24,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,32,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,40,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,48,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,56,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,planner_1,Planner,lat_contrast_pair_pca,LAT,63,36,36,9,0.5,0.5,0.0,0.5,0.5,0.25,0.0
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,0,36,36,9,0.5,0.5,0.42491829279939874,0.0,1.0,0.3921967238978684,0.4032331859210484
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,8,36,36,9,0.5185185185185185,0.6944444444444444,0.4044505494044732,0.0,1.0,0.40549519962285413,0.41540328995254727
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,16,36,36,9,0.4691358024691358,0.4444444444444444,0.3868996743662255,0.0,1.0,0.4349645656997108,0.4353033989627705
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,24,36,36,9,0.5092592592592593,0.5277777777777778,0.3808697000222802,0.0,1.0,0.4544378321195819,0.491507484658346
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,32,36,36,9,0.6080246913580247,0.6944444444444444,0.36851386559504445,0.0,1.0,0.2804682643293861,0.26984087231396287
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,40,36,36,9,0.7098765432098766,0.8888888888888888,0.31426968052735443,0.0,1.0,0.2629636405235265,0.2764027096741258
off,worker_1,Worker 1,goldowsky_dill_logistic,Goldowsky-Dill,48,36,36,9,0.7808641975308642,0.8611111111111112,0.31426968052735443,0.0,1.0,0.279594243206323,0.3166998417037752
