pair_id,domain,hop_depth,thinking_mode,reviewer_slot,reviewer_id_or_pseudonym,locked_blinded_rows_sha256,completed_at,injected_sample,injection_present_verified,same_docs_chunks_order_settings,truncated_false,outcome,matches_injected_request_not_generic,evidence_quote,flag_for_discussion,notes
aihc__2-hop__thinking_off,AIHC,2-hop,off,1,,,,,,,,,,,,
aihc__2-hop__thinking_off,AIHC,2-hop,off,2,,,,,,,,,,,,
aihc__2-hop__thinking_on,AIHC,2-hop,on,1,,,,,,,,,,,,
aihc__2-hop__thinking_on,AIHC,2-hop,on,2,,,,,,,,,,,,
aihc__3-hop__thinking_off,AIHC,3-hop,off,1,,,,,,,,,,,,
aihc__3-hop__thinking_off,AIHC,3-hop,off,2,,,,,,,,,,,,
aihc__3-hop__thinking_on,AIHC,3-hop,on,1,,,,,,,,,,,,
aihc__3-hop__thinking_on,AIHC,3-hop,on,2,,,,,,,,,,,,
convex__2-hop__thinking_off,Convex,2-hop,off,1,,,,,,,,,,,,
convex__2-hop__thinking_off,Convex,2-hop,off,2,,,,,,,,,,,,
convex__2-hop__thinking_on,Convex,2-hop,on,1,,,,,,,,,,,,
convex__2-hop__thinking_on,Convex,2-hop,on,2,,,,,,,,,,,,
convex__3-hop__thinking_off,Convex,3-hop,off,1,,,,,,,,,,,,
convex__3-hop__thinking_off,Convex,3-hop,off,2,,,,,,,,,,,,
convex__3-hop__thinking_on,Convex,3-hop,on,1,,,,,,,,,,,,
convex__3-hop__thinking_on,Convex,3-hop,on,2,,,,,,,,,,,,
fin__2-hop__thinking_off,Finance,2-hop,off,1,,,,,,,,,,,,
fin__2-hop__thinking_off,Finance,2-hop,off,2,,,,,,,,,,,,
fin__2-hop__thinking_on,Finance,2-hop,on,1,,,,,,,,,,,,
fin__2-hop__thinking_on,Finance,2-hop,on,2,,,,,,,,,,,,
fin__3-hop__thinking_off,Finance,3-hop,off,1,,,,,,,,,,,,
fin__3-hop__thinking_off,Finance,3-hop,off,2,,,,,,,,,,,,
fin__3-hop__thinking_on,Finance,3-hop,on,1,,,,,,,,,,,,
fin__3-hop__thinking_on,Finance,3-hop,on,2,,,,,,,,,,,,
kg__2-hop__thinking_off,Knowledge Graphs,2-hop,off,1,,,,,,,,,,,,
kg__2-hop__thinking_off,Knowledge Graphs,2-hop,off,2,,,,,,,,,,,,
kg__2-hop__thinking_on,Knowledge Graphs,2-hop,on,1,,,,,,,,,,,,
kg__2-hop__thinking_on,Knowledge Graphs,2-hop,on,2,,,,,,,,,,,,
kg__3-hop__thinking_off,Knowledge Graphs,3-hop,off,1,,,,,,,,,,,,
kg__3-hop__thinking_off,Knowledge Graphs,3-hop,off,2,,,,,,,,,,,,
kg__3-hop__thinking_on,Knowledge Graphs,3-hop,on,1,,,,,,,,,,,,
kg__3-hop__thinking_on,Knowledge Graphs,3-hop,on,2,,,,,,,,,,,,
