cohort,analysis_kind,probe,domain_count,prediction_count,mean_fold_auroc,pooled_auroc
all_nine_domains,fold_exclusion_only,goldowsky_dill_logistic,9,36,0.8888888888888888,0.7098765432098766
all_nine_domains,fold_exclusion_only,lat_contrast_pair_pca,9,36,0.7222222222222222,0.5864197530864198
all_nine_domains,full_cohort_refit,goldowsky_dill_logistic,9,36,0.8888888888888888,0.7098765432098766
all_nine_domains,full_cohort_refit,lat_contrast_pair_pca,9,36,0.7222222222222222,0.5864197530864198
remove_kg_and_convex,fold_exclusion_only,goldowsky_dill_logistic,7,28,0.8571428571428571,0.6887755102040817
remove_kg_and_convex,fold_exclusion_only,lat_contrast_pair_pca,7,28,0.6428571428571429,0.5612244897959183
remove_kg_and_convex,full_cohort_refit,goldowsky_dill_logistic,7,28,0.7857142857142857,0.6275510204081632
remove_kg_and_convex,full_cohort_refit,lat_contrast_pair_pca,7,28,0.5714285714285714,0.5612244897959183
plain_text_six_domains,fold_exclusion_only,goldowsky_dill_logistic,6,24,0.8333333333333334,0.6388888888888888
plain_text_six_domains,fold_exclusion_only,lat_contrast_pair_pca,6,24,0.5833333333333334,0.5208333333333334
plain_text_six_domains,full_cohort_refit,goldowsky_dill_logistic,6,24,0.75,0.6111111111111112
plain_text_six_domains,full_cohort_refit,lat_contrast_pair_pca,6,24,0.2916666666666667,0.4236111111111111
special_token_tool_syntax_two_domains,fold_exclusion_only,goldowsky_dill_logistic,2,8,1.0,0.8125
special_token_tool_syntax_two_domains,fold_exclusion_only,lat_contrast_pair_pca,2,8,1.0,0.75
special_token_tool_syntax_two_domains,full_cohort_refit,goldowsky_dill_logistic,2,8,1.0,1.0
special_token_tool_syntax_two_domains,full_cohort_refit,lat_contrast_pair_pca,2,8,1.0,1.0
natural_selection_seven_domains,fold_exclusion_only,goldowsky_dill_logistic,7,28,0.8571428571428571,0.6938775510204082
natural_selection_seven_domains,fold_exclusion_only,lat_contrast_pair_pca,7,28,0.9285714285714286,0.6632653061224489
natural_selection_seven_domains,full_cohort_refit,goldowsky_dill_logistic,7,28,0.7857142857142857,0.673469387755102
natural_selection_seven_domains,full_cohort_refit,lat_contrast_pair_pca,7,28,0.9285714285714286,0.6428571428571429
required_anchor_two_domains,fold_exclusion_only,goldowsky_dill_logistic,2,8,1.0,0.9375
required_anchor_two_domains,fold_exclusion_only,lat_contrast_pair_pca,2,8,0.0,0.25
required_anchor_two_domains,full_cohort_refit,goldowsky_dill_logistic,2,8,0.875,0.8125
required_anchor_two_domains,full_cohort_refit,lat_contrast_pair_pca,2,8,0.875,0.8125
think_tag_single_domain,fold_exclusion_only,goldowsky_dill_logistic,1,4,1.0,1.0
think_tag_single_domain,fold_exclusion_only,lat_contrast_pair_pca,1,4,1.0,1.0
