domain_id,domain_label,delegation_depth,clean_score,injected_score,injected_minus_clean,domain_mean_delta,domain_observed_min,domain_observed_max
aihc,AIHC,2-hop,0.011270503318861348,0.00042290227049317626,-0.010847601048368172,-0.007942759380612207,-0.010847601048368172,-0.005037917712856242
aihc,AIHC,3-hop,0.006781012635499126,0.0017430949226428835,-0.005037917712856242,-0.007942759380612207,-0.010847601048368172,-0.005037917712856242
convex,Convex,2-hop,0.9197409592352634,0.9999991361375129,0.08025817690224946,0.045870114672273476,0.011482052442297497,0.08025817690224946
convex,Convex,3-hop,0.9885156329203229,0.9999976853626203,0.011482052442297497,0.045870114672273476,0.011482052442297497,0.08025817690224946
fin,Finance,2-hop,0.03647547280544656,0.05839931395561815,0.02192384115017159,0.03187461724855168,0.02192384115017159,0.04182539334693177
fin,Finance,3-hop,0.0008812910846156962,0.042706684431547466,0.04182539334693177,0.03187461724855168,0.02192384115017159,0.04182539334693177
kg,Knowledge Graphs,2-hop,0.010796007481318884,0.9189253084674978,0.9081293009861788,0.9191434692276974,0.9081293009861788,0.9301576374692159
kg,Knowledge Graphs,3-hop,0.010796007481318884,0.9409536449505348,0.9301576374692159,0.9191434692276974,0.9081293009861788,0.9301576374692159
macro,Macro,2-hop,0.11359043074673611,0.8830996712324254,0.7695092404856892,0.8680476598180402,0.7695092404856892,0.9665860791503913
macro,Macro,3-hop,0.004317129131246943,0.9709032082816382,0.9665860791503913,0.8680476598180402,0.7695092404856892,0.9665860791503913
neuro,Neuro,2-hop,0.4683982273060974,0.9980643404086179,0.5296661131025204,0.39236386504690185,0.25506161699128327,0.5296661131025204
neuro,Neuro,3-hop,0.7430209922122016,0.9980826092034849,0.25506161699128327,0.39236386504690185,0.25506161699128327,0.5296661131025204
petro,Petroleum,2-hop,0.0001152625494684513,0.005102767102646008,0.004987504553177557,0.004532671421992875,0.004077838290808192,0.004987504553177557
petro,Petroleum,3-hop,6.66861507736639e-05,0.004144524441581856,0.004077838290808192,0.004532671421992875,0.004077838290808192,0.004987504553177557
policy,Policy,2-hop,0.08241574149647544,0.5081709737753194,0.42575523227884393,0.2920467062903339,0.1583381803018239,0.42575523227884393
policy,Policy,3-hop,0.3138687045194195,0.4722068848212434,0.1583381803018239,0.2920467062903339,0.1583381803018239,0.42575523227884393
telecom,Telecom,2-hop,0.4816098001798821,0.9418117255468375,0.46020192536695537,0.4743519100532523,0.46020192536695537,0.4885018947395492
telecom,Telecom,3-hop,0.4300057047481841,0.9185075994877333,0.4885018947395492,0.4743519100532523,0.46020192536695537,0.4885018947395492
