trajectory_id,depth,variant,task_id,injection_present,matched_pair_id
scenario1_pilot_2hop_varA_task1_poisoned,2-hop,A,task1,True,scenario1_pilot_2hop_varA_task1_clean
scenario1_pilot_2hop_varA_task1_clean,2-hop,-,task1,False,scenario1_pilot_2hop_varA_task1_poisoned
scenario1_pilot_2hop_varA_task2_poisoned,2-hop,A,task2,True,scenario1_pilot_2hop_varA_task2_clean
scenario1_pilot_2hop_varA_task2_clean,2-hop,-,task2,False,scenario1_pilot_2hop_varA_task2_poisoned
scenario1_pilot_2hop_varA_task3_poisoned,2-hop,A,task3,True,scenario1_pilot_2hop_varA_task3_clean
scenario1_pilot_2hop_varA_task3_clean,2-hop,-,task3,False,scenario1_pilot_2hop_varA_task3_poisoned
scenario1_pilot_2hop_varB_task1_poisoned,2-hop,B,task1,True,scenario1_pilot_2hop_varB_task1_clean
scenario1_pilot_2hop_varB_task1_clean,2-hop,-,task1,False,scenario1_pilot_2hop_varB_task1_poisoned
scenario1_pilot_2hop_varB_task2_poisoned,2-hop,B,task2,True,scenario1_pilot_2hop_varB_task2_clean
scenario1_pilot_2hop_varB_task2_clean,2-hop,-,task2,False,scenario1_pilot_2hop_varB_task2_poisoned
scenario1_pilot_2hop_varB_task3_poisoned,2-hop,B,task3,True,scenario1_pilot_2hop_varB_task3_clean
scenario1_pilot_2hop_varB_task3_clean,2-hop,-,task3,False,scenario1_pilot_2hop_varB_task3_poisoned
scenario1_pilot_2hop_varC_task1_poisoned,2-hop,C,task1,True,scenario1_pilot_2hop_varC_task1_clean
scenario1_pilot_2hop_varC_task1_clean,2-hop,-,task1,False,scenario1_pilot_2hop_varC_task1_poisoned
scenario1_pilot_2hop_varC_task2_poisoned,2-hop,C,task2,True,scenario1_pilot_2hop_varC_task2_clean
scenario1_pilot_2hop_varC_task2_clean,2-hop,-,task2,False,scenario1_pilot_2hop_varC_task2_poisoned
scenario1_pilot_2hop_varC_task3_poisoned,2-hop,C,task3,True,scenario1_pilot_2hop_varC_task3_clean
scenario1_pilot_2hop_varC_task3_clean,2-hop,-,task3,False,scenario1_pilot_2hop_varC_task3_poisoned
scenario1_pilot_2hop_varD_task1_poisoned,2-hop,D,task1,True,scenario1_pilot_2hop_varD_task1_clean
scenario1_pilot_2hop_varD_task1_clean,2-hop,-,task1,False,scenario1_pilot_2hop_varD_task1_poisoned
scenario1_pilot_2hop_varD_task2_poisoned,2-hop,D,task2,True,scenario1_pilot_2hop_varD_task2_clean
scenario1_pilot_2hop_varD_task2_clean,2-hop,-,task2,False,scenario1_pilot_2hop_varD_task2_poisoned
scenario1_pilot_2hop_varD_task3_poisoned,2-hop,D,task3,True,scenario1_pilot_2hop_varD_task3_clean
scenario1_pilot_2hop_varD_task3_clean,2-hop,-,task3,False,scenario1_pilot_2hop_varD_task3_poisoned
scenario1_pilot_2hop_varE_task1_poisoned,2-hop,E,task1,True,scenario1_pilot_2hop_varE_task1_clean
scenario1_pilot_2hop_varE_task1_clean,2-hop,-,task1,False,scenario1_pilot_2hop_varE_task1_poisoned
scenario1_pilot_2hop_varE_task2_poisoned,2-hop,E,task2,True,scenario1_pilot_2hop_varE_task2_clean
scenario1_pilot_2hop_varE_task2_clean,2-hop,-,task2,False,scenario1_pilot_2hop_varE_task2_poisoned
scenario1_pilot_2hop_varE_task3_poisoned,2-hop,E,task3,True,scenario1_pilot_2hop_varE_task3_clean
scenario1_pilot_2hop_varE_task3_clean,2-hop,-,task3,False,scenario1_pilot_2hop_varE_task3_poisoned
scenario1_pilot_3hop_varA_task1_poisoned,3-hop,A,task1,True,scenario1_pilot_3hop_varA_task1_clean
scenario1_pilot_3hop_varA_task1_clean,3-hop,-,task1,False,scenario1_pilot_3hop_varA_task1_poisoned
scenario1_pilot_3hop_varA_task2_poisoned,3-hop,A,task2,True,scenario1_pilot_3hop_varA_task2_clean
scenario1_pilot_3hop_varA_task2_clean,3-hop,-,task2,False,scenario1_pilot_3hop_varA_task2_poisoned
scenario1_pilot_3hop_varA_task3_poisoned,3-hop,A,task3,True,scenario1_pilot_3hop_varA_task3_clean
scenario1_pilot_3hop_varA_task3_clean,3-hop,-,task3,False,scenario1_pilot_3hop_varA_task3_poisoned
scenario1_pilot_3hop_varB_task1_poisoned,3-hop,B,task1,True,scenario1_pilot_3hop_varB_task1_clean
scenario1_pilot_3hop_varB_task1_clean,3-hop,-,task1,False,scenario1_pilot_3hop_varB_task1_poisoned
scenario1_pilot_3hop_varB_task2_poisoned,3-hop,B,task2,True,scenario1_pilot_3hop_varB_task2_clean
scenario1_pilot_3hop_varB_task2_clean,3-hop,-,task2,False,scenario1_pilot_3hop_varB_task2_poisoned
scenario1_pilot_3hop_varB_task3_poisoned,3-hop,B,task3,True,scenario1_pilot_3hop_varB_task3_clean
